group,title,title_es,url,description,description_es,icon
New to A.A.,What is A.A.?,Que es A.A.?,https://www.aa.org/what-is-aa,A plain answer to the first question most people ask.,Una respuesta sencilla a la primera pregunta.,circle-question
New to A.A.,New to A.A.,Nuevo en A.A.,https://www.aa.org/new-to-aa,For anyone wondering whether they have a problem with alcohol.,Para quien se pregunta si tiene un problema con el alcohol.,door-open
New to A.A.,Find a Meeting,Encuentra una Reunion,https://www.aa.org/find-aa,A.A.'s official meeting finder for the U.S. and Canada.,El buscador oficial de reuniones de A.A.,magnifying-glass-location
New to A.A.,Meeting Guide App,Aplicacion Meeting Guide,https://www.aa.org/meeting-guide-app,The free A.A. meeting app for iOS and Android.,La aplicacion gratuita de reuniones de A.A.,mobile-screen
New to A.A.,Online Intergroup of A.A.,Intergrupo en Linea de A.A.,https://aa-intergroup.org/,Online and phone meetings around the clock.,Reuniones en linea y por telefono a toda hora.,globe
New to A.A.,A.A. en Espanol,A.A. en Espanol,https://www.aa.org/es,aa.org in Spanish.,aa.org en espanol.,language
The Legacies,The Twelve Steps,Los Doce Pasos,https://www.aa.org/the-twelve-steps,Recovery — the program of A.A.,Recuperacion: el programa de A.A.,shoe-prints
The Legacies,The Twelve Traditions,Las Doce Tradiciones,https://www.aa.org/the-twelve-traditions,Unity — how A.A. groups stay together.,Unidad: como permanecen unidos los grupos.,link
The Legacies,The Twelve Concepts for World Service,Los Doce Conceptos,https://www.aa.org/the-twelve-concepts,Service — how A.A. as a whole functions.,Servicio: como funciona A.A. en su conjunto.,sitemap
The Legacies,The A.A. Preamble,El Preambulo de A.A.,https://www.aa.org/aa-preamble,Read at the start of nearly every A.A. meeting.,Se lee al inicio de casi toda reunion de A.A.,quote-left
The Legacies,A Declaration of Unity,Declaracion de Unidad,https://www.aa.org/a-declaration-of-unity,"""This we owe to A.A.'s future...""","""Esto le debemos al futuro de A.A....""",handshake-angle
General Service,The A.A. Service Manual / Twelve Concepts,Manual de Servicio de A.A.,https://www.aa.org/aa-service-manualtwelve-concepts-world-services,"The handbook for every G.S.R., D.C.M. and Area officer.","El manual de todo R.S.G., M.C.D. y oficial de Area.",book-bookmark
General Service,The A.A. Group,El Grupo de A.A.,https://www.aa.org/the-aa-group,"How a group works, and how it connects to A.A. as a whole.",Como funciona un grupo y como se conecta con A.A.,people-roof
General Service,General Service Representative (G.S.R.),Representante de Servicios Generales,https://www.aa.org/gsr-general-service-representative,The link between a group and A.A. as a whole.,El vinculo entre el grupo y A.A. en su conjunto.,link
General Service,Structure of the Conference (U.S. & Canada),Estructura de la Conferencia,https://www.aa.org/structure-conference-us-and-canada,"How groups, districts, areas and the Conference fit together.","Como encajan grupos, distritos, areas y la Conferencia.",diagram-project
