page,section,sort,slug,icon,color,title_en,title_es,body_en,body_es,url,extra
home,quicklinks,1,,calendar-days,brand,Service calendar,Calendario de servicio,"Every district, H&I, intergroup and Area meeting — filter by day, type, format or language.","Cada reunión de distrito, H&I, intergrupo y Área — filtra por día, tipo, formato o idioma.",#/meetings,
home,quicklinks,2,,map-location-dot,orange,Find your district,Encuentra tu distrito,Type your city and we will tell you which district your group belongs to.,Escribe tu ciudad y te diremos a qué distrito pertenece tu grupo.,#/districts,
home,quicklinks,3,,address-book,fuchsia,Panel 76 trusted servants,Servidores del Panel 76,"Officers, committee chairs and D.C.M.C.s — with service e-mail addresses.","Oficiales, coordinadores de comité y M.C.D.C. — con correos de servicio.",#/servants,
home,quicklinks,4,,file-lines,emerald,"Minutes, motions & agendas","Actas, mociones y agendas","Everything the Assembly has approved, searchable, dated and stored on this site.","Todo lo aprobado por la Asamblea, con búsqueda, fecha y alojado en este sitio.",#/documents,
home,quicklinks,5,,hand-holding-dollar,teal,7th Tradition,Séptima Tradición,"How a group, a district or a member sends a contribution to Area 09.","Cómo un grupo, un distrito o un miembro contribuye al Área 09.",#/contribute,
home,quicklinks,6,,hand-holding-heart,rose,New to A.A.?,¿Nuevo en A.A.?,"If you want to stop drinking, you are in the right place. Start here.","Si quieres dejar de beber, estás en el lugar correcto. Empieza aquí.",#/newcomers,
home,legacies,1,,shoe-prints,amber,The Twelve Steps,Los Doce Pasos,Recovery — the program of A.A.,Recuperación — el programa de A.A.,https://www.aa.org/the-twelve-steps,
home,legacies,2,,link,fuchsia,The Twelve Traditions,Las Doce Tradiciones,Unity — how A.A. groups stay together.,Unidad — cómo permanecen unidos los grupos.,https://www.aa.org/the-twelve-traditions,
home,legacies,3,,sitemap,cyan,The Twelve Concepts,Los Doce Conceptos,Service — how A.A. as a whole functions.,Servicio — cómo funciona A.A. en su conjunto.,https://www.aa.org/the-twelve-concepts,
newcomers,steps,1,,comments,rose,Talk to someone,Habla con alguien,"Call the central office nearest you. The people who answer are alcoholics who have been where you are — not professionals, not a script.","Llama a la oficina central de tu zona. Contestan alcohólicos que han estado donde tú estás — no profesionales, no un guion.",,
newcomers,steps,2,,magnifying-glass-location,brand,Find a meeting,Encuentra una reunión,"There are meetings every single day across the four counties, in person and online, in English and in Spanish.","Hay reuniones todos los días en los cuatro condados, en persona y en línea, en inglés y en español.",,
newcomers,steps,3,,door-open,amber,Just walk in,Solo entra,There are no dues or fees. You sign nothing. The only requirement is a desire to stop drinking.,No hay cuotas ni honorarios. No firmas nada. El único requisito es el deseo de dejar de beber.,,
newcomers,notdo,1,,xmark,rose,Solicit members; we reach out to those who ask.,No solicita miembros; llegamos a quienes nos buscan.,,,,
newcomers,notdo,2,,xmark,rose,Keep membership records or case histories.,No lleva registros de asistencia ni historiales.,,,,
newcomers,notdo,3,,xmark,rose,"Affiliate with any agency, cause, institution or sect.","No se afilia a ninguna agencia, causa, institución o secta.",,,,
newcomers,notdo,4,,xmark,rose,Follow up or try to control its members.,No hace seguimiento ni intenta controlar a sus miembros.,,,,
newcomers,notdo,5,,xmark,rose,Make medical diagnoses or prognoses.,No da diagnósticos médicos ni pronósticos.,,,,
newcomers,notdo,6,,xmark,rose,"Provide housing, clothing, jobs or money.","No ofrece alojamiento, ropa, empleo ni dinero.",,,,
newcomers,finders,1,,magnifying-glass-location,brand,aa.org/find-aa,aa.org/find-aa,,,https://www.aa.org/find-aa,primary
newcomers,finders,2,,mobile-screen,sky,Meeting Guide,Meeting Guide,,,https://www.aa.org/meeting-guide-app,
newcomers,finders,3,,globe,teal,Online meetings,Reuniones en línea,,,https://aa-intergroup.org/,
