slug,name,name_es,icon,color,summary,summary_es,email,email_es,aa_url,aa_label
accessibilities,Accessibilities,Accesibilidades,universal-access,rose,"Carries the message to alcoholics who face barriers of any kind - hearing, sight, mobility, distance, literacy or chronic illness - so that no one is kept from an A.A. meeting.","Lleva el mensaje a los alcoholicos que enfrentan barreras de cualquier tipo, para que nadie quede fuera de una reunion de A.A.",accessibilitieschair@msca09aa.org,accessibilitieschair-es@msca09aa.org,https://www.aa.org/accessibilities-committees,Accessibilities Committees on aa.org
archives,Archives,Archivos,box-archive,amber,"Collects, preserves and shares the history of A.A. in Mid-Southern California so that the record of our experience is kept for those who follow.","Recoge, preserva y comparte la historia de A.A. en el Area 09.",archiveschair@msca09aa.org,,https://www.aa.org/archives-committees,Archives Committees on aa.org
cec,Cooperation with the Elder Community,Cooperacion con la Comunidad de Ancianos,hand-holding-heart,teal,"Cooperates with senior centers, retirement homes and those who serve older people, so that the older alcoholic who still suffers can find A.A.",Coopera con centros para personas mayores para que el alcoholico mayor pueda encontrar A.A.,cecchair@msca09aa.org,,https://www.aa.org/aa-for-professionals,A.A. for Professionals on aa.org
communications,Communications,Comunicaciones,tower-broadcast,sky,"Keeps the Area informed - newsletter, announcements and the flow of news between the Area, its districts and its groups.","Mantiene informada al Area: boletin, anuncios y noticias entre el Area, los distritos y los grupos.",communicationschair@msca09aa.org,communicationschair-es@msca09aa.org,,
convention,Convention Liaison,Enlace de Convencion,people-group,fuchsia,"Carries information between the Area and the Southern California conventions, conferences and round-ups our members attend.",Lleva informacion entre el Area y las convenciones y conferencias del sur de California.,conventionliaison@msca09aa.org,conventionliaison-es@msca09aa.org,https://www.aa.org/aa-guidelines-conferences-conventions-and-roundups,A.A. Guidelines: Conferences & Conventions
corrections,Corrections,Correcciones,door-open,indigo,"Carries the message into jails and prisons, and helps the alcoholic behind the walls find A.A. on release through pre-release contact and correspondence.",Lleva el mensaje a carceles y prisiones y ayuda al alcoholico a encontrar A.A. al salir.,correctionschair@msca09aa.org,,https://www.aa.org/corrections-committees,Corrections Committees on aa.org
cpc,Cooperation with the Professional Community,Cooperacion con la Comunidad Profesional,user-doctor,cyan,"Informs doctors, clergy, courts, educators and employers about what A.A. does and does not do - we cooperate, but never affiliate.","Informa a medicos, clero, cortes y empleadores sobre lo que A.A. hace y no hace: cooperamos, nunca nos afiliamos.",cpcchair@msca09aa.org,cpcchair-es@msca09aa.org,https://www.aa.org/Cooperation-with-the-Professional-Community,C.P.C. on aa.org
dcmschool,DCM School,Escuela de MCD,chalkboard-user,violet,"Training and shared experience for District Committee Members and DCMCs - what the job is, and how a district works.",Capacitacion y experiencia compartida para los MCD y MCDC.,dcmschoolchair@msca09aa.org,dcmschoolchair-es@msca09aa.org,https://www.aa.org/aa-service-manualtwelve-concepts-world-services,The A.A. Service Manual
finance,Finance,Finanzas,chart-pie,emerald,"Prepares the Area budget, reviews our self-support and reports the Area's finances to the Assembly.",Prepara el presupuesto del Area y reporta las finanzas a la Asamblea.,financechair@msca09aa.org,,https://www.aa.org/aa-contributions-self-support,Self-Support on aa.org
grapevine,Grapevine,Grapevine,book-open,orange,Our meeting in print. Carries the Grapevine to groups and districts and encourages members to share their experience.,Nuestra reunion impresa. Lleva el Grapevine a los grupos y distritos.,grapevinechair@msca09aa.org,,https://www.aa.org/aa-grapevine-la-vina,A.A. Grapevine & La Vina
lavina,La Vina,La Vina,book-open-reader,rose,La revista de A.A. en espanol - nuestra reunion impresa para los miembros de habla hispana.,La revista de A.A. en espanol: nuestra reunion impresa para los miembros de habla hispana.,lavinachair@msca09aa.org,,https://www.aa.org/aa-grapevine-la-vina,A.A. Grapevine & La Vina
guidelines,Guidelines & Procedures,Guias y Procedimientos,scale-balanced,slate,Keeps the Area's guidelines current and helps the Assembly apply them through the Third Legacy Procedure and informed group conscience.,Mantiene vigentes las guias del Area y ayuda a la Asamblea a aplicarlas.,gapchair@msca09aa.org,,,
gsrschool,GSR School,Escuela de RSG,graduation-cap,lime,Where a new General Service Representative learns the job - the link between a group and A.A. as a whole.,Donde un nuevo Representante de Servicios Generales aprende su trabajo.,gsrschoolchair@msca09aa.org,gsrschoolchair-es@msca09aa.org,https://www.aa.org/gsr-general-service-representative,G.S.R. on aa.org
literature,Literature,Literatura,book,amber,Makes Conference-approved literature available across the Area and shares news of new and revised pamphlets and books.,Pone a disposicion del Area la literatura aprobada por la Conferencia.,literaturechair@msca09aa.org,literaturechair-es@msca09aa.org,https://www.aa.org/literature-committees,Literature Committees on aa.org
pi,Public Information,Informacion Publica,bullhorn,blue,Makes sure accurate information about A.A. is available to the public - and that our anonymity is protected while we do it.,"Se asegura de que haya informacion precisa sobre A.A. para el publico, protegiendo nuestro anonimato.",pichair@msca09aa.org,pichair-es@msca09aa.org,https://www.aa.org/public-information-committees,P.I. Committees on aa.org
registration,Registration,Registro,clipboard-check,teal,"Signs in the Assembly, counts the voting members and works with the Registrar to keep group and G.S.R. records current.",Registra la Asamblea y mantiene actualizados los registros de grupos y R.S.G.,registrationchair@msca09aa.org,,,
remote,Remote Communities,Comunidades Remotas,mountain-sun,stone,"Reaches alcoholics who are isolated by geography, language or circumstance - the desert, the mountains and everywhere the meeting list runs out.","Alcanza a los alcoholicos aislados por la geografia, el idioma o las circunstancias.",remotecommunitieschair@msca09aa.org,remotecommunitieschair-es@msca09aa.org,https://www.aa.org/remote-communities-committees,Remote Communities on aa.org
technology,Technology,Tecnologia,laptop-code,purple,"Supports the Area's online meetings, e-mail, website and the tools that let service happen across four counties.","Apoya las reuniones en linea, el correo y el sitio web del Area.",technologychair@msca09aa.org,,,
treatment,Treatment,Tratamiento,hand-holding-medical,pink,Carries the message into treatment settings and helps build Bridging the Gap - so the alcoholic leaving treatment meets A.A. at the door.,Lleva el mensaje a los centros de tratamiento y apoya Uniendo las Orillas.,treatmentchair@msca09aa.org,,https://www.aa.org/treatment-committees,Treatment Committees on aa.org
ypaa,Young People in A.A.,Jovenes en A.A.,fire,red,"Shows the young alcoholic that A.A. works at any age, and connects the Area with YPAA conferences and events.",Muestra al alcoholico joven que A.A. funciona a cualquier edad.,ypchair@msca09aa.org,,,
website,Website / Web Servant,Sitio Web,globe,sky,"Keeps this site current, accurate and anonymity-safe, and receives material from the board, committees and districts for posting.","Mantiene este sitio actualizado, preciso y seguro en cuanto al anonimato.",webmaster@msca09aa.org,,,
